event_type,latitude,longitude,event_cause,requires_road_closure,veh_type,corridor,priority,police_station,hour,day_of_week,month
1,12.8636494,77.6725849,2,0,5,11,0,13,3,5,1
1,12.9219483,77.6002467,14,0,2,1,1,37,15,5,1
1,12.9666597,77.661556,7,0,5,11,0,25,8,5,1
0,12.946469,77.6986754,4,0,5,12,1,14,11,5,1
1,12.9936273,77.5844677,6,1,5,2,1,20,20,4,3
1,12.9465079,77.6986339,14,0,1,12,1,14,20,5,1
1,13.0467058,77.5036495,14,0,4,11,0,8,18,4,3
1,13.0166142,77.5054464,14,0,1,11,0,39,6,4,12
0,13.0085677,77.6131497,4,1,5,11,0,27,21,5,1
1,13.0309717,77.5364661,14,0,4,19,1,53,19,5,1
1,13.0262806,77.5442344,6,0,5,19,1,53,20,4,3
1,12.9938639,77.5844374,13,0,5,2,1,20,20,4,3
1,12.9188682,77.6687736,14,0,1,12,1,5,21,5,1
1,12.9546127,77.6423399,3,0,5,8,1,25,20,5,1
1,12.936133,77.5187044,14,0,4,10,1,6,21,5,1
0,12.9694079,77.7006346,4,0,5,13,1,14,20,5,1
1,12.9849833,77.5883633,14,0,7,2,1,20,21,5,1
1,13.0127301,77.5545135,14,0,9,21,1,36,20,4,3
1,12.9842019,77.7336286,11,0,5,11,0,50,21,5,1
1,13.2644465,77.7187627,14,1,2,11,0,12,19,5,1
1,12.9848257,77.7527586,14,0,7,11,0,35,22,5,1
1,12.9932986,77.5837571,13,0,5,2,1,20,20,4,3
1,12.9937523,77.5842482,13,0,5,2,1,20,20,4,3
1,12.9938868,77.5841876,13,0,5,2,1,20,20,4,3
1,12.9368467,77.6928653,14,0,7,12,1,14,23,5,1
1,13.0126766,77.5581246,13,1,5,11,0,36,20,4,3
1,12.9513113,77.4994888,14,0,1,11,0,26,23,5,1
1,13.0160964,77.5068555,14,0,1,11,0,39,21,5,1
1,12.9807501,77.6028238,7,0,5,4,1,45,21,4,3
1,12.9165983,77.583705,13,0,5,11,0,22,20,4,3
1,13.0198619,77.6562235,7,0,5,11,1,19,1,6,1
1,13.0191848,77.6555127,7,0,5,14,1,19,1,6,1
1,12.9740913,77.5452252,14,0,1,21,1,49,0,6,1
1,12.9740971,77.5449011,14,0,1,21,1,49,0,6,1
1,12.9688926,77.569795,14,0,0,11,0,7,1,6,1
1,12.9838737,77.5286068,7,0,5,9,1,30,23,5,1
1,12.9595586,77.5162093,6,0,5,11,0,6,23,5,1
1,12.9511354,77.5739687,14,0,4,11,0,48,22,5,1
1,13.0192138,77.5395595,14,0,5,11,0,42,23,5,1
1,12.9161187,77.5856548,7,0,5,11,0,22,21,4,3
1,12.9284355,77.6811918,14,1,1,12,1,5,23,5,1
1,13.0753282,77.4370383,14,0,2,11,0,38,19,4,3
1,13.2673624,77.7195893,14,0,2,11,0,12,19,4,3
1,12.9449039,77.4949618,6,0,5,11,0,26,21,4,3
1,12.9873133,77.6163481,13,0,5,11,0,40,21,4,3
0,12.969418,77.7006526,4,0,5,13,1,14,21,4,3
1,12.9613232,77.5644194,6,1,5,10,1,7,21,4,3
1,12.959419,77.5165897,6,0,5,11,0,6,21,4,3
1,12.9431035,77.6220445,7,0,5,11,0,0,21,4,3
1,12.8482637,77.6713737,14,0,4,11,0,13,2,6,1
1,12.96672,77.6093294,14,0,1,10,1,1,5,6,1
1,13.0253205,77.6400845,14,0,6,14,1,3,21,4,3
1,12.8561783,77.6645205,14,0,2,11,0,13,2,6,1
1,12.9641056,77.5825203,16,0,5,10,1,17,3,6,1
1,12.974757,77.5657216,14,0,4,9,1,34,1,6,1
1,12.9640011,77.5836093,14,0,1,10,1,17,1,6,1
1,12.9480512,77.5343585,14,0,2,10,1,6,4,6,1
1,12.9245654,77.6739287,14,0,1,12,1,5,3,6,1
1,13.0078566,77.5920655,13,0,5,11,0,41,21,4,3
1,13.0035862,77.5721203,13,1,5,11,0,36,21,4,3
1,12.9854129,77.5941024,6,0,5,5,1,11,21,4,3
1,12.9272622,77.5806774,13,1,5,11,0,24,21,4,3
1,13.0022504,77.5722138,13,1,5,11,0,43,21,4,3
1,12.9586724,77.5629452,13,1,5,10,1,7,21,4,3
1,13.0369808,77.5895122,14,0,9,2,1,18,3,6,1
1,12.9169077,77.5737827,14,0,1,11,0,24,3,6,1
1,12.9047066,77.6016042,7,0,5,1,1,22,22,4,3
1,12.9047995,77.6017019,7,0,5,1,1,22,22,4,3
1,12.9774707,77.5457303,16,0,5,21,1,49,22,4,3
1,12.904781,77.6015741,7,0,5,1,1,22,22,4,3
1,12.9238693,77.5536044,14,0,5,16,1,2,5,6,1
1,12.9585656,77.5932824,6,0,5,11,0,1,7,6,1
1,12.9601533,77.5633429,13,0,5,10,1,7,22,4,3
1,12.9578001,77.5631189,13,0,5,11,0,7,22,4,3
1,12.95836,77.5776317,14,0,6,11,0,10,22,4,3
1,12.9187567,77.621505,7,0,5,12,1,33,2,2,12
1,13.0331905,77.5901915,4,0,5,2,1,18,22,4,3
1,12.9360494,77.6154975,14,1,4,11,0,0,20,4,3
1,12.9784088,77.6285392,16,0,5,18,1,16,22,4,3
1,12.9873237,77.6037885,7,0,5,11,0,45,22,4,3
1,13.0190323,77.654465,14,0,1,14,1,3,22,4,3
1,13.0446713,77.5828869,3,0,5,15,1,32,5,6,1
1,12.9119892,77.6254956,14,0,1,7,1,33,6,6,1
1,12.9893579,77.5064443,14,0,2,9,1,30,5,6,1
1,13.0152581,77.5639687,14,0,4,19,1,43,19,4,3
1,12.9392829,77.5596125,13,1,5,11,0,4,23,4,3
1,12.9614398,77.5600867,14,0,4,10,1,7,8,6,1
1,12.9194445,77.6215536,14,0,1,7,1,33,8,6,1
1,13.0501731,77.4947759,4,0,5,11,0,8,11,6,1
1,12.8400906,77.6764868,2,0,5,11,0,13,16,6,1
1,13.042636,77.5147881,2,0,5,19,1,8,19,6,1
1,12.9110914,77.6001308,14,0,2,1,1,37,19,6,1
1,12.9516567,77.500185,6,0,5,11,0,26,9,2,12
1,12.9698017,77.7319617,7,0,5,11,0,50,20,6,1
1,13.114305,77.60655,14,0,2,3,1,52,20,6,1
1,12.9900159,77.5025425,14,0,1,9,1,30,20,6,1
1,13.0424443,77.5147257,2,0,5,19,1,8,19,6,1
1,12.9216832,77.6199372,14,1,2,7,1,33,19,6,1
1,13.0467369,77.575502,6,0,5,15,1,32,7,4,12
1,13.0427379,77.5892891,14,0,4,2,1,32,20,6,1
1,13.0308555,77.5359082,14,0,2,19,1,53,20,6,1
1,13.0161873,77.7093516,7,1,5,11,0,28,0,3,1
0,12.9693576,77.7006406,4,0,5,13,1,14,21,6,1
1,12.9625526,77.5916298,14,0,6,11,0,17,21,4,3
1,12.9893817,77.5927844,6,0,5,11,0,11,23,4,3
1,12.938565,77.6979933,16,0,5,12,1,14,23,4,3
1,12.9690624,77.5872736,14,1,1,10,1,17,23,4,3
1,12.961311,77.55932,13,1,5,10,1,7,23,4,3
1,12.9146696,77.5640607,11,0,5,16,1,29,21,6,1
1,12.9173038,77.5882958,14,0,1,11,0,24,21,6,1
1,12.9144686,77.5650362,11,0,5,16,1,2,21,6,1
1,12.9144815,77.5650493,11,0,5,16,1,2,21,6,1
1,12.9113626,77.5999548,14,0,2,1,1,37,19,6,1
1,12.9353705,77.5182037,14,0,2,10,1,6,21,6,1
1,12.9216444,77.5940415,13,1,5,11,0,24,23,4,3
1,12.9246541,77.6497438,14,0,4,12,1,14,22,6,1
1,12.9145147,77.5649877,11,0,5,16,1,2,22,6,1
1,12.9145447,77.5650079,11,0,5,16,1,2,22,6,1
1,12.9635928,77.6263774,14,0,5,11,0,16,20,6,1
1,13.0310785,77.5357035,14,0,6,19,1,53,20,6,1
1,12.8700974,77.6533824,14,0,1,7,1,13,0,0,3
0,12.9762232,77.6016656,4,0,5,18,1,11,22,6,1
1,12.9211317,77.6627683,16,0,5,12,1,5,6,4,1
1,12.9832059,77.5766759,14,0,5,11,0,20,22,4,3
1,12.9793286,77.5105419,6,0,5,11,0,26,0,0,3
1,12.94819783,77.53467664,6,0,5,10,1,6,23,6,1
1,13.022765,77.6014354,13,1,5,11,0,41,0,0,3
1,12.9943131,77.617972,7,0,5,11,0,40,23,6,1
1,13.0071299,77.5267687,14,0,1,11,0,42,21,4,3
0,13.1511992,77.620242,4,0,5,3,1,9,0,4,2
1,13.0264,77.544019,14,0,3,19,1,53,22,4,3
1,13.1212507,77.6179465,7,0,5,11,0,52,21,1,11
1,12.9895389,77.5057545,7,0,5,9,1,30,0,0,3
1,12.9245044,77.6502426,14,0,4,12,1,14,22,6,1
1,12.9664142,77.5125512,14,0,9,11,0,26,0,4,2
1,12.9758786,77.5643384,14,0,0,9,1,34,1,0,3
1,12.9641027,77.5700324,14,0,1,10,1,7,1,4,2
1,12.9124656,77.5805324,13,0,5,11,0,22,5,4,3
1,12.9228317,77.6575101,14,0,4,12,1,5,23,6,1
1,13.0378641,77.5222897,14,0,4,19,1,39,1,4,2
1,12.9583476,77.5547336,14,0,2,10,1,7,2,0,3
1,12.8895087,77.6408236,14,0,2,7,1,15,0,4,2
1,12.8895337,77.640687,14,0,2,7,1,15,0,4,2
1,12.9847423,77.574706,14,0,0,11,0,44,0,0,3
1,13.0229252,77.5099725,14,0,1,11,0,39,1,0,3
1,12.8894616,77.6407007,14,0,2,7,1,15,0,4,2
1,13.0436683,77.6067467,14,0,1,14,1,18,2,4,2
1,13.0145688,77.5835164,14,0,4,2,1,43,3,4,2
1,13.0186759,77.5588615,14,0,4,19,1,53,4,0,3
1,12.9494883,77.5368741,14,1,3,10,1,6,4,0,3
1,13.0229482,77.601028,14,0,5,11,0,41,4,0,3
1,12.9928917,77.5854867,14,0,6,2,1,20,2,4,2
1,12.9625233,77.6415686,14,0,7,17,1,25,4,0,3
1,13.0976738,77.5990251,14,0,2,3,1,52,3,4,2
1,13.1151883,77.6067482,14,0,2,3,1,52,4,4,2
0,13.07835,77.502205,4,0,5,11,0,8,4,0,3
1,12.984191,77.5972223,11,0,5,5,1,45,4,0,3
1,12.97447,77.5492,14,0,1,21,1,34,1,0,3
1,12.9842204,77.597142,11,0,5,5,1,45,4,0,3
1,13.0488954,77.4970171,14,0,4,11,0,8,5,0,3
1,12.9891874,77.5070709,14,0,2,9,1,30,4,0,3
1,12.9160564,77.6160829,14,0,1,11,0,37,2,4,2
1,13.16120295,77.62691818,4,0,5,3,1,9,4,4,2
1,12.9532283,77.538385,14,0,2,21,1,6,1,4,2
1,12.9844178,77.5970285,11,0,5,5,1,11,5,0,3
1,12.8569988,77.5889807,6,0,5,1,1,21,5,4,2
1,12.9446407,77.5969852,14,0,1,11,0,51,3,4,2
1,13.0407502,77.5174141,14,0,4,19,1,39,2,4,2
1,13.0414238,77.545608,14,0,9,15,1,23,5,0,3
1,12.95983785,77.64811735,14,0,4,17,1,25,5,4,2
1,13.0446065,77.5828293,3,0,5,15,1,32,6,4,2
1,12.9197329,77.5835635,14,0,1,11,0,24,5,0,3
1,12.9875849,77.5182251,6,0,5,9,1,30,21,2,1
1,12.9886918,77.519831,14,0,2,9,1,30,6,4,2
1,12.9595376,77.5557817,14,0,2,10,1,7,3,4,2
1,12.993901,77.6190564,14,0,5,11,0,40,5,0,3
1,12.9988047,77.5839954,14,0,4,2,1,43,3,4,2
1,12.8885722,77.640446,14,0,5,7,1,13,6,4,2
1,12.9858066,77.6051199,7,0,5,11,0,45,2,3,1
1,13.0450698,77.6440587,4,0,5,11,0,19,5,0,3
1,12.9541849,77.5435568,14,0,1,10,1,6,7,4,2
1,12.9679023,77.5680413,6,0,5,11,0,7,6,0,3
1,12.9895932,77.5723117,14,0,1,11,0,44,7,4,2
1,13.0522674,77.4879449,4,0,5,11,0,38,6,4,2
1,13.0446065,77.5828293,3,0,5,15,1,32,6,4,2
1,12.8733932,77.6251719,7,0,5,11,0,21,1,2,12
1,12.8732959,77.6248843,7,0,5,11,0,21,1,2,12
1,12.9013118,77.6322397,14,0,6,7,1,33,8,4,2
1,12.972653,77.6185064,14,0,2,18,1,16,8,4,2
1,13.0379483,77.6257684,6,0,5,6,1,27,6,0,3
1,12.8980705,77.5460958,7,0,5,11,0,29,22,0,12
1,12.9415222,77.5603107,14,0,1,11,0,4,4,0,3
0,12.965034,77.5747048,4,1,5,10,1,10,11,4,2
1,12.9904041,77.5993848,14,0,7,11,0,20,3,0,3
1,12.9915317,77.7140583,14,0,4,11,0,35,13,4,2
1,12.9450066,77.5274017,14,0,2,16,1,6,15,4,2
1,13.114945,77.60684,14,0,2,3,1,52,18,4,2
1,13.0176948,77.553788,14,0,5,19,1,53,20,4,2
0,12.9694199,77.7006686,4,0,5,13,1,14,20,4,2
1,12.8985649,77.5435672,7,0,5,11,0,29,22,0,12
1,12.8893347,77.5379823,7,0,5,11,0,46,19,2,12
1,12.9514566,77.6214627,7,0,5,11,0,1,23,1,12
1,12.9514586,77.6214633,7,0,5,11,0,1,23,1,12
1,12.9513718,77.621369,7,0,5,11,0,0,23,1,12
0,12.9643399,77.5855341,15,0,5,10,1,17,20,4,2
1,12.9800987,77.6655755,7,0,5,11,0,3,23,2,12
1,12.9441328,77.5010682,13,1,5,11,0,26,7,0,3
1,12.8785528,77.6720521,13,0,5,11,0,13,7,0,3
1,12.9643404,77.5855854,14,0,4,10,1,17,21,4,2
1,12.8785573,77.6719048,13,0,5,11,0,13,7,0,3
1,13.044562,77.583011,3,0,5,15,1,32,5,0,3
1,13.0317076,77.5355328,14,0,1,19,1,53,22,4,2
1,13.0451384,77.5070153,14,0,2,19,1,39,21,4,2
1,12.9474732,77.5340694,14,0,6,10,1,6,7,0,3
1,12.850847,77.6685139,14,0,6,11,0,13,20,4,2
1,13.0623222,77.459163,14,0,2,11,0,38,21,4,2
0,12.860655,77.4311029,4,1,5,11,0,31,22,4,2
1,13.0355513,77.5265219,14,0,7,19,1,39,7,0,3
1,12.92335,77.58296,13,1,5,11,0,24,8,0,3
1,12.9390583,77.6946217,14,0,1,12,1,14,23,4,2
1,12.8509801,77.6601903,13,0,5,11,0,13,8,0,3
1,13.0817559,77.5482378,7,1,5,11,0,52,0,0,2
1,12.9891497,77.5077437,3,0,5,9,1,30,0,0,2
1,13.0145576,77.5696436,6,1,5,11,0,43,1,0,2
1,12.9232313,77.5904837,13,1,5,11,0,24,8,0,3
1,13.0357481,77.6283566,14,0,7,14,1,19,22,4,2
1,12.8196613,77.6877212,14,0,2,11,0,13,22,4,2
1,12.9697862,77.7499252,11,0,5,11,0,50,4,0,2
1,12.9228111,77.7365506,6,0,5,11,0,50,3,0,2
1,12.971535,77.5941929,14,0,0,10,1,11,4,0,2
1,12.96652735,77.60810502,14,0,4,10,1,1,8,0,3
1,12.926187,77.6772301,14,0,1,12,1,5,4,0,2
1,13.0077773,77.5838076,14,0,6,2,1,43,8,0,3
1,12.9750878,77.5481342,14,0,1,21,1,49,5,0,2
1,13.029877,77.5377738,14,0,5,19,1,53,5,0,2
1,12.9340271,77.6892659,14,0,4,12,1,14,6,0,2
1,12.8353407,77.6791817,14,0,2,11,0,13,6,0,2
1,12.9163498,77.6122067,14,0,4,11,0,37,6,0,2
1,12.9948294,77.6040054,14,0,4,11,0,41,5,0,2
1,12.9634765,77.6415675,16,0,5,17,1,25,9,0,3
1,13.0775201,77.5924027,2,0,5,3,1,52,6,0,2
1,13.0445011,77.5830561,3,0,5,15,1,32,5,0,2
1,12.9754467,77.548252,14,0,1,21,1,34,4,0,2
1,12.960507,77.5575071,14,0,1,10,1,7,4,0,2
1,12.9963786,77.584919,14,0,7,2,1,20,5,0,2
1,12.9976941,77.584432,14,0,4,2,1,20,7,0,3
1,12.9616717,77.6308433,16,0,5,11,0,16,9,0,3
1,13.075025,77.4360233,14,0,9,11,0,38,13,0,3
1,12.9536214,77.5428369,7,0,5,11,1,6,7,0,2
1,12.92001766,77.66562279,4,0,5,12,1,5,20,0,1
1,12.967049,77.6102824,6,0,5,11,0,1,8,0,2
1,13.07838,77.427995,4,1,5,11,0,38,13,0,3
1,13.067431,77.4509417,6,0,5,11,0,38,14,0,3
1,13.0565314,77.5934723,14,0,3,2,1,32,7,0,2
1,13.0624083,77.459675,14,0,9,11,0,38,14,0,3
1,13.0525889,77.4882603,6,0,5,11,0,38,11,0,2
1,12.9827733,77.5622665,6,0,5,11,0,44,10,0,2
1,13.0517275,77.4890823,6,0,5,11,0,38,11,0,2
1,12.8764512,77.6715527,14,0,1,11,0,13,8,0,2
1,12.8912876,77.6260666,14,0,1,11,0,21,8,0,2
1,13.0519799,77.489572,6,0,5,11,0,38,11,0,2
1,12.9520875,77.5407653,14,0,2,10,1,6,18,0,3
1,13.0300435,77.5375531,14,0,2,19,1,53,11,0,2
1,12.9595784,77.6492766,2,0,5,17,1,25,19,0,2
1,13.0426261,77.5148623,6,0,5,19,1,8,18,0,2
1,12.9557117,77.6916217,14,0,9,17,1,14,19,0,2
1,12.9379783,77.5214433,6,0,5,10,1,6,20,0,2
1,13.010814,77.5836806,14,0,4,2,1,43,18,0,2
1,13.04648015,77.50384754,14,0,2,11,0,8,18,0,3
1,13.0765895,77.5923254,14,0,4,3,1,52,18,0,2
1,12.8856454,77.541635,7,0,5,11,0,46,21,0,2
1,12.9357223,77.5134413,6,0,5,10,1,26,21,0,2
1,12.92071012,77.66535994,14,0,5,12,1,5,21,0,2
1,13.055969,77.4760833,14,0,4,11,0,38,19,0,3
0,12.9694578,77.7006343,4,0,5,13,1,14,21,0,2
1,13.0200506,77.7094059,14,0,4,11,0,28,21,0,2
1,12.9556427,77.545929,14,0,1,10,1,6,22,0,2
1,12.9137365,77.6774246,6,0,5,11,0,5,22,0,2
1,13.0009179,77.612603,7,0,5,11,0,40,20,6,12
1,12.9137307,77.6775918,6,0,5,11,0,5,22,0,2
1,12.9964726,77.5845948,14,1,3,2,1,44,22,0,2
1,13.026353,77.544093,14,0,2,19,1,53,20,0,2
1,12.9616777,77.6305228,16,0,5,11,0,16,19,0,3
1,12.9061591,77.5856052,14,0,7,16,1,22,0,2,2
1,12.9964326,77.5846186,14,0,3,2,1,20,22,0,2
1,13.0471823,77.5687914,14,0,1,15,1,32,1,2,2
1,12.9964147,77.5846199,14,0,3,2,1,44,22,0,2
1,12.9763384,77.575645,6,0,5,11,0,47,2,2,2
1,12.981767,77.5601309,14,0,4,11,0,34,21,0,2
1,12.9725476,77.5079739,14,0,1,11,0,26,23,0,2
1,12.9735765,77.5693008,2,0,5,11,0,7,19,0,3
1,13.022045,77.6497867,14,0,5,14,1,19,19,0,3
1,12.9354371,77.536311,14,0,9,16,1,2,4,2,2
1,13.0022947,77.6158366,7,0,5,11,0,40,3,2,2
1,13.0415656,77.6118591,6,1,5,14,1,27,2,3,12
1,13.0690187,77.5928063,14,0,8,3,1,32,2,2,2
1,12.9397541,77.7473664,3,0,5,11,0,50,2,2,2
1,12.9859956,77.5893687,14,0,5,2,1,20,20,0,3
1,12.8878816,77.6407286,14,0,4,7,1,13,6,2,2
1,12.9692805,77.7006521,4,0,5,13,1,14,20,0,3
1,13.0451892,77.5070112,14,0,1,19,1,39,5,2,2
1,12.9360198,77.7068567,14,0,5,11,0,14,19,0,3
1,13.0424656,77.5148652,14,0,1,19,1,8,6,2,2
1,12.9711964,77.6995594,14,0,2,13,1,14,19,0,3
1,12.9883029,77.509169,14,0,2,9,1,30,3,2,2
1,12.9898004,77.5721914,14,0,1,11,0,44,6,2,2
1,12.92227542,77.61942577,14,0,1,7,1,33,6,2,2
1,12.913843,77.6774956,6,0,5,11,0,5,6,2,2
1,12.9772269,77.751196,16,0,5,11,0,50,6,2,2
1,13.1092587,77.6039334,14,0,8,3,1,52,6,2,2
1,13.0386532,77.5740578,13,0,5,11,0,32,22,0,3
1,12.9154072,77.5653126,14,0,5,16,1,2,21,0,3
1,12.9891588,77.5002047,14,0,2,9,1,30,5,2,2
1,13.0454067,77.5804235,3,0,5,15,1,32,5,2,2
1,13.0107881,77.6620919,14,0,1,14,1,3,5,2,2
1,13.0380265,77.5218887,14,0,1,19,1,39,6,2,2
1,12.961075,77.6373946,14,0,8,17,1,16,8,2,2
0,12.9712598,77.597572,4,1,5,11,0,11,22,0,3
1,13.0219533,77.6496153,14,0,5,14,1,19,19,0,3
1,13.0967428,77.5980771,2,0,5,3,1,52,7,2,2
1,13.03895,77.5895433,14,0,4,2,1,32,9,2,2
1,12.9632521,77.5824056,14,0,1,10,1,17,7,2,2
1,12.97457646,77.62552477,13,0,5,18,1,16,22,0,3
1,13.0081323,77.6928683,8,0,5,11,0,28,21,0,3
1,13.0467793,77.5657141,14,0,2,15,1,32,20,0,3
1,13.1083256,77.602945,14,0,2,3,1,52,17,2,2
1,13.0686851,77.4480875,14,0,4,11,0,38,23,0,3
1,12.9834372,77.5910288,14,0,4,2,1,11,19,0,3
1,12.9955054,77.6656028,14,0,2,14,1,3,17,2,2
1,13.0416934,77.6141348,6,1,5,14,1,19,23,0,3
1,12.9831222,77.560473,6,0,5,11,0,42,19,2,2
1,12.9241031,77.6488026,14,0,2,12,1,15,18,2,2
1,12.9480061,77.5350513,14,0,2,10,1,6,17,2,2
1,13.1219878,77.6106476,14,0,2,3,1,52,17,2,2
1,12.9329717,77.5086981,6,0,5,10,1,26,20,2,2
1,12.9649995,77.5347577,14,0,6,21,1,49,21,2,2
1,12.9979557,77.553242,14,0,3,21,1,42,0,2,3
0,13.049104,77.5932567,4,0,5,2,1,18,21,2,2
1,12.9062767,77.5854083,16,0,5,16,1,22,21,4,1
1,12.9930661,77.6072646,14,0,1,11,0,40,21,2,2
1,13.0483496,77.6454296,9,1,5,11,0,19,0,2,3
1,12.9474857,77.5334546,14,0,2,10,1,6,22,2,2
1,12.9946463,77.757638,14,0,7,11,0,35,22,2,2
1,12.9389754,77.5982845,14,0,2,11,0,51,20,2,2
1,12.8404633,77.6521017,14,0,1,11,0,13,23,2,2
1,12.990066,77.5051704,14,0,1,9,1,30,23,2,2
1,13.0332299,77.5882243,14,0,4,2,1,32,23,2,2
1,12.9559289,77.5459051,14,0,1,10,1,6,0,3,2
1,12.9900093,77.5051989,14,0,1,9,1,30,23,2,2
1,13.0198953,77.7095235,14,0,3,11,0,28,0,3,2
1,13.0085344,77.5715468,13,0,5,11,0,36,0,2,3
1,12.9991066,77.6747282,2,0,5,13,1,35,0,3,2
1,12.9978016,77.6098254,14,0,1,11,0,40,1,3,2
1,12.8854753,77.5965566,6,0,5,1,1,22,1,2,3
1,12.979657,77.5710764,14,0,1,11,0,7,22,0,3
1,12.8854927,77.5965724,6,0,5,1,1,21,1,2,3
1,13.0161568,77.7092743,11,0,5,11,0,28,2,3,2
1,13.030071,77.536943,14,0,2,19,1,53,2,3,2
1,13.0140206,77.5675162,14,0,5,19,1,43,2,3,2
1,13.1025028,77.5994852,6,0,5,3,1,52,2,3,2
1,13.0455545,77.505774,14,0,3,19,1,39,1,3,2
1,12.99601,77.75823,14,0,4,11,0,35,1,2,3
1,13.0428518,77.5510758,14,0,4,15,1,23,1,3,2
1,13.035473,77.5890568,14,0,4,2,1,18,1,3,2
1,12.9519615,77.4996318,14,0,1,11,0,26,3,3,2
1,12.8829772,77.752955,14,0,5,11,0,38,3,3,2
1,13.0982087,77.5712693,2,0,5,11,0,52,2,2,3
1,13.0738494,77.4396108,14,0,9,11,0,38,2,3,2
1,13.0375682,77.6270117,14,0,4,14,1,19,2,3,2
1,12.9605694,77.5042779,14,0,1,11,0,26,5,3,2
1,12.9423299,77.5312866,14,0,1,16,1,6,4,3,2
1,12.974095,77.601415,14,0,1,18,1,11,4,3,2
1,12.9485683,77.5934648,14,0,5,11,0,51,2,2,3
1,12.9539748,77.5433401,14,0,6,10,1,6,0,2,3
0,13.0418551,77.6138337,4,1,5,14,1,19,0,2,3
1,13.0290051,77.5402099,14,0,2,19,1,53,3,2,3
1,12.9287199,77.5454335,14,0,4,16,1,2,5,3,2
1,12.9668133,77.50355,7,0,5,11,0,26,5,3,2
1,13.0102,77.5903783,14,0,0,11,0,41,5,3,2
1,12.9592991,77.6545459,14,0,4,17,1,25,6,3,2
1,13.039407,77.6414637,14,0,6,0,1,19,4,2,3
1,12.9063976,77.629448,14,0,1,7,1,15,5,2,3
1,12.9675759,77.6063726,14,0,4,10,1,1,5,2,3
1,12.9392078,77.5800529,13,1,5,11,0,4,6,2,3
1,12.9437435,77.5799452,16,0,5,11,0,4,6,2,3
1,12.9168228,77.5858813,13,1,5,11,0,22,6,2,3
1,13.0086669,77.5487517,7,0,5,21,1,42,6,2,3
1,12.948058,77.5739248,16,0,5,11,0,4,6,2,3
0,13.0469097,77.6445369,4,0,5,11,0,19,6,2,3
1,12.9640354,77.5822556,16,1,5,10,1,17,6,2,3
1,12.9814912,77.5865964,16,0,5,11,0,20,6,2,3
1,12.9856687,77.5977511,7,0,5,11,1,45,7,3,2
1,12.975762,77.5646846,6,0,5,9,1,34,7,2,3
1,12.9156273,77.5694489,14,0,1,11,0,2,8,3,2
1,12.916885,77.5858733,13,1,5,11,0,22,6,2,3
0,12.90731581,77.6955824,10,1,5,11,0,5,22,2,2
1,13.2675104,77.7198706,14,0,2,11,0,12,9,3,2
1,12.9154399,77.5694428,14,0,1,11,0,29,8,3,2
1,12.9591976,77.5227753,14,0,6,11,0,6,12,3,2
0,12.90730454,77.69558165,10,1,5,11,0,5,22,2,2
1,13.0390527,77.7395319,14,0,2,11,0,28,12,3,2
